批次,批内序号,CCD编号,名称,等级,等级说明,结论,合成/单体证据,环肽证据,口服证据,建议,来源数,来源,CCD链接,PDB示例
1,1,STA,STATINE,A,A级：有直接环肽/宏环强证据,保留为高价值候选,已有statine及其保护衍生物的成熟合成与肽偶联应用。,含statine的环六肽系列有直接实验数据。,同系列一个化合物在大鼠中口服生物利用度为21%；结论属于完整环肽骨架，不能归因于单个残基。,优先用于构象预组织、蛋白酶过渡态模拟及溶解度/渗透性平衡设计。,2,"直接环肽/口服证据｜Bockus et al., J Med Chem (2015)｜https://pubmed.ncbi.nlm.nih.gov/25950816/；结构使用证据｜RCSB PDB 1FIV｜https://www.rcsb.org/structure/1FIV",https://www.rcsb.org/ligand/STA,1FIV / 1GVU / 1IZE / 1LS5 / 1LYB
1,2,3WX,2-methyl-L-proline,A,A级：有直接环肽/宏环强证据,保留为临床骨架候选,已在enlicitide的模块化合成和放大路线中实际使用。,是enlicitide复杂宏环/三环骨架中的构象限制残基。,enlicitide为口服活性PCSK9宏环肽并已有临床人体证据；不能把整体口服性单独归因于2-Me-Pro。,优先用于转角、局部刚化和降低骨架氢键供体，但需结合整个大环构象评估。,3,"临床宏环骨架｜Josien et al., J Med Chem (2026)｜https://pubmed.ncbi.nlm.nih.gov/42201324/；人体口服证据｜MK-0616 Phase 1 report｜https://pubmed.ncbi.nlm.nih.gov/37125593/；精确结构位置｜RCSB PDB 10SB｜https://www.rcsb.org/structure/10SB",https://www.rcsb.org/ligand/3WX,10SB / 6XIB / 6XIC / 6XID / 6XIE
1,3,SOQ,N-methyl-L-aspartic acid,A,A级：有直接环肽/宏环强证据,保留，但标记为高极性位置依赖型,N-甲基氨基酸可按常规保护/偶联策略进入环肽；该残基已有宏环结构实例。,在宏环KRAS抑制剂结构中实际出现，并有同骨架环六肽单点替换数据。,N-Me-Asp环六肽类似物RRCK Papp约0.6×10^-6 cm/s，表现偏低；不能视为增渗残基。,只在需要酸性结合点或溶解度时使用，并优先考虑侧链电荷埋藏。,2,"环肽渗透性直接证据｜Goetz et al., ACS Med Chem Lett (2014)｜https://pmc.ncbi.nlm.nih.gov/articles/PMC4190640/；宏环肽结构证据｜RCSB PDB 24HR｜https://www.rcsb.org/structure/24HR",https://www.rcsb.org/ligand/SOQ,24HR / 24HS / 7AZ6 / 7AZ7 / 7AZG
1,4,5JP,N-methyl-L-serine,A,A级：有直接环肽/宏环强证据,保留为可用的亲水N-甲基候选,有N-甲基丝氨酸环肽合成和结构使用记录。,在相同环六肽骨架的单点替换系列中被直接测试。,EPSA为83、RRCK Papp约1.6×10^-6 cm/s；有可测被动渗透，但不是该系列最优残基。,适合需要保留羟基和水溶性的位点，不能宣传为普适增渗单元。,1,"环肽渗透性直接证据｜Goetz et al., ACS Med Chem Lett (2014)｜https://pmc.ncbi.nlm.nih.gov/articles/PMC4190640/",https://www.rcsb.org/ligand/5JP,5E2A / 6DUB / 7NUS / 7TL8
1,5,A1CHA,3-(aminomethyl)-L-phenylalanine,A,A级：有直接环肽/宏环强证据,保留为临床骨架交联残基,已在enlicitide的可放大模块化路线中使用。,额外氨甲基参与enlicitide的复杂交联网络。,所在完整宏环药物具有临床口服活性；额外伯胺本身通常不利于被动扩散。,作为侧链桥连/内酰胺化把手使用，不应当作单纯增脂或增渗残基。,2,"临床宏环骨架｜Josien et al., J Med Chem (2026)｜https://pubmed.ncbi.nlm.nih.gov/42201324/；精确结构位置｜RCSB PDB 10SB｜https://www.rcsb.org/structure/10SB",https://www.rcsb.org/ligand/A1CHA,10SB / 9P5C / 9R9M
1,6,NMK,N-methyl Lysine,A,A级：有直接环肽/宏环强证据,保留，但标记为带正电位置依赖型,N-Me-Lys已用于环肽N-甲基化扫描和生长抑素类似物。,NMR结构6HVC为含N-Me-Lys的环状urotensin肽；另有N-甲基环六肽系统数据。,单点环肽RRCK Papp约0.3×10^-6 cm/s；但含N-Me-Lys的三N-甲基生长抑素类似物约10%口服生物利用度。,仅在正电荷参与结合或可被构象埋藏时使用。,3,"环肽渗透性直接证据｜Goetz et al., ACS Med Chem Lett (2014)｜https://pmc.ncbi.nlm.nih.gov/articles/PMC4190640/；口服环肽骨架｜Biron et al., Angew Chem Int Ed (2008)｜https://pubmed.ncbi.nlm.nih.gov/18297660/；环肽结构证据｜RCSB PDB 6HVC｜https://www.rcsb.org/structure/6HVC",https://www.rcsb.org/ligand/NMK,6HVC / 7AA4
1,7,BAL,BETA-ALANINE,B,B级：可进入肽，但缺少口服环肽直接证据,保留为β-氨基酸/间隔单元,β-丙氨酸可用标准肽化学进入α/β肽，也是天然肽抗生素efrapeptin的组成单元。,存在环肽和环状低聚物应用，但当前CCD命中主要证明肽中使用。,未找到该残基在可口服环肽中的直接归因证据。,用于延长骨架和调节转角；注意柔性增加可能不利于被动渗透。,1,天然肽使用证据｜RCSB PDB 1EFR / PNAS｜https://www.rcsb.org/structure/1EFR,https://www.rcsb.org/ligand/BAL,1EFR / 1FGL / 1MCD / 1MCE / 1MCF
1,8,XCP,"(1S,2S)-2-aminocyclopentanecarboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为高价值构象限制β-氨基酸,有全立体异构体的规模化合成，且文献明确说明兼容标准SPPS。,已用于α/β肽、受体配体和RaPID非标准肽库；目前最强证据是稳定螺旋与细胞进入，不是口服宏环。,未找到直接口服暴露数据。,优先用于螺旋稳定、抗蛋白酶和细胞进入设计；口服价值仍需在具体环肽中验证。,3,"细胞进入/稳定性｜Kawai et al., RSC Chem Biol (2025)｜https://doi.org/10.1039/D5CB00021A；合成与SPPS兼容性｜Scalable ACPC stereoisomer synthesis｜https://doi.org/10.1021/acs.joc.3c02991；肽中使用证据｜RCSB PDB 25NV｜https://www.rcsb.org/structure/25NV",https://www.rcsb.org/ligand/XCP,25NV / 25NX / 3C3H / 3F4Z / 3F50
1,9,ASJ,(3S)-3-amino-4-hydroxybutanoic acid,C,C级：特殊片段，需限制用途,降级为末端抑制剂/特殊用途片段,结构上可作为β-氨基酸样单元，但当前命中主要来自醛型或末端抑制剂体系。,未找到作为普通内部残基的可靠环肽应用。,未找到直接证据。,不要进入通用残基推荐库；仅在末端醛/半醛及蛋白酶抑制剂专题中保留。,2,caspase肽醛抑制剂结构｜RCSB PDB 1F1J｜https://www.rcsb.org/structure/1F1J；身份核对｜PubChem CID 1502045｜https://pubchem.ncbi.nlm.nih.gov/compound/1502045,https://www.rcsb.org/ligand/ASJ,1F1J / 1IAU / 1PAU / 1PYO / 1QTN
1,10,XPC,"(3S,4R)-4-aminopyrrolidine-3-carboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为构象限制β-氨基酸,已有Fmoc保护体和SPPS进入α/β肽的直接方法。,用于α/β肽螺旋束、细胞穿透肽及环肽类似物研究。,未找到直接口服证据。,适合刚化骨架并提供可衍生的环内氮；需要单独评估碱性和渗透性。,2,SPPS与细胞进入证据｜RSC Org Biomol Chem (2015)｜https://doi.org/10.1039/C5OB00389J；α/β肽结构证据｜RCSB PDB 3C3H｜https://www.rcsb.org/structure/3C3H,https://www.rcsb.org/ligand/XPC,3C3H / 3F4Z / 3F50 / 3FDM / 3G7A
1,11,PSA,3-HYDROXY-4-AMINO-5-PHENYLPENTANOIC ACID,B,B级：可进入肽，但缺少口服环肽直接证据,保留为蛋白酶过渡态模拟残基,AHPPA/phenylstatine有成熟保护和肽偶联记录。,当前强证据主要是线性肽样蛋白酶抑制剂，不是口服环肽。,未找到直接证据。,适合蛋白酶靶点和过渡态模拟，不应外推为普适口服残基。,2,肽样抑制剂证据｜Peptide substrates and inhibitors of HIV-1 protease｜https://doi.org/10.1016/0006-291X(89)90008-9；结构证据｜RCSB PDB 1EPL｜https://www.rcsb.org/structure/1EPL,https://www.rcsb.org/ligand/PSA,1EPL / 1EPM / 2IFW / 3UQP / 3UQR
1,12,V7T,(2R)-6-azanyl-2-carbamimidamido-hexanoic acid,A,A级：有直接环肽/宏环强证据,保留为宏环蛋白酶抑制剂残基,在MI系列宏环Zika病毒蛋白酶抑制剂中完成合成和优化。,7O55等多条PDB结构直接证明进入宏环抑制剂。,未找到口服暴露证据。,作为高极性、酶口袋定向残基使用；不适合默认用于被动渗透优化。,1,"宏环抑制剂直接证据｜Huber et al., J Med Chem (2022) / RCSB 7O55｜https://www.rcsb.org/structure/7O55",https://www.rcsb.org/ligand/V7T,7O55 / 7OBV / 7OC2 / 7PFQ / 7PFY
1,13,L2O,"(2S,3R)-3-amino-2-hydroxy-5-methylhexanoic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为天然肽样抑制剂残基,有光学纯保护衍生物合成，并已与Val-Val-Asp偶联制备amastatin。,当前直接证据为线性四肽amastatin，不是环肽。,未找到直接证据。,适合氨肽酶抑制和过渡态模拟专题，进入环肽需重新验证偶联与构象。,2,"合成与肽偶联｜Rich et al., J Org Chem (1980)｜https://doi.org/10.1021/jo01300a004；amastatin结构证据｜RCSB PDB 1BLL｜https://www.rcsb.org/structure/1BLL",https://www.rcsb.org/ligand/L2O,1BLL / 1Y0Y / 4FYT / 4KX8 / 4Q4I
1,14,3FB,(3S)-3-AMINO-4-PHENYLBUTANOIC ACID,B,B级：可进入肽，但缺少口服环肽直接证据,保留为疏水β-氨基酸,β-高苯丙氨酸可进入α/β肽和功能性折叠体。,目前主要是α/β螺旋模拟物，不是环肽直接证据。,未找到直接证据。,可用于疏水结合面和抗蛋白酶设计；进入宏环后需重新优化闭环几何。,2,α/β肽功能结构｜RCSB PDB 4A1W / JACS｜https://www.rcsb.org/structure/4A1W；类别证据｜β-amino acid medicinal chemistry perspective｜https://doi.org/10.1021/jm5010896,https://www.rcsb.org/ligand/3FB,4A1W / 4WPB / 6J67 / 7JFR / 8DL7
1,15,A1CK7,3-amino-3-methylbutanoic acid,A,A级：有直接环肽/宏环强证据,保留为宏环RAS抑制剂残基,已在UM0140401宏环肽中实际合成和结构解析。,9PU1等结构直接证明进入H/KRAS宏环抑制剂。,未找到口服暴露证据。,适合引入β位 gem-二甲基约束；常规偶联可能较困难，需保留专用合成条件。,1,宏环抑制剂直接证据｜RCSB PDB 9PU1 / ACS Med Chem Lett｜https://www.rcsb.org/structure/9PU1,https://www.rcsb.org/ligand/A1CK7,9PU1 / 9PUN / 9PUQ / 9PUT / 9PUZ
